,F1-Macro,F1-Accuracy,F1-Weighted,Execution Time
Flair_TextClassifier,0.6891667914754049,0.7699115044247787,0.7665499229708266,72.03987336158752
LinearSVC,0.6572023665308683,0.7560050568900126,0.7418328635049413,1.4909718036651611
LogisticRegression,0.6515517929507211,0.754740834386852,0.7397337431266772,43.45578598976135
SGDClassifier,0.6635366952591959,0.7610619469026548,0.7490401388959833,1.0581660270690918
RidgeClassifier,0.6612527400971958,0.7572692793931732,0.7446447109341876,1.4378604888916016
